"Country","Year","Month","Day","Latitude","Longitude","Level","Notes"
"CN",2017,4,27,"12.00","113.00",6,"Jiaolong, China's manned submersible, on Thursday conducted its second dive in the South China Sea. Departing its mother ship Xiangyanghong 09 at 7:10 a.m., Jiaolong stayed underwater for nine hours and thirteen minutes, and returned at 4:23 p.m. It was Jiaolong's second dive in the second stage of China's 38th oceanic scientific expedition, which will last until May 13. Jiaolong finished its first South China Sea mission on Wednesday."
"CN",2017,4,26,"12.00","113.00",6,"China launches first home-built aircraft carrier"
"CN/PH",2017,11,15,"10.92","114.08",2,"Luoyang 527"
"CN/US",2017,9,30,"12.00","113.00",6,"Chinese guardships closely followed the USS Ronald Reagan when it conducted the periodically military exercise"
"CN",2017,1,3,"12.00","113.00",6,"A group of Chinese warships led by Liaoning aircraft carrier tested weapons and equipment in exercises"
"CN",2017,4,NA,"12.00","113.00",6,"Two Chinese landing ships, the Jinggangshan and the Kunlunshan, formed a group and conducted a naval drill in the South China Sea recently, with the aim of testing their combat capabilities, CCTV reported. The Jinggangshan and the Kunlunshan, both under the South China Sea Fleet of the Chinese navy, took part in a number of exercises, including comprehensive attack and defense, the use of weapons, island landing by air-cushioned landing crafts and vertical troop transportation by helicopters."
"CN/PH",2017,8,12,"11.05","114.28",2,"A Philippine lawmaker raised alarm over ""extraordinary activities"" of Chinese ships near Pag-asa (Thitu) Island in the West Philippine Sea (South China Sea), concerned that they are eyeing to occupy sandbars where Filipinos living there would go to fish and picnic."
"CN/US",2018,3,23,"12.00","113.00",6,"?China's Ministry of National Defense has labeled a US warship's entry into waters around China's islands and reefs in the South China Sea as a serious political and military provocation.
 
 
 Spokesperson Ren Guoqiang set out the ministry's position on Friday.
 
 
 Ren said the USS Mustin, a guided missile destroyer, arbitrarily entered the waters before it was identified by two Chinese vessels and warned off."
"CN/US",2018,4,10,"12.00","113.00",6,"Chinese ships appeared in the region where the USS Theodore Roosevelt conducted military exercise"
"CN",2018,4,11,"12.00","113.00",6,"A Chinese navy flotilla including aircraft carrier Liaoning has conducted a series of exercises in the South China Sea since the navy review last Thursday."
"CN/US",2018,9,30,"10.21","114.22",2,"The Lanzhou 170 came close to and nearly collided with the USS Decatur at a distance of only 45 yards as USS Decatur conducted a ""freedom of navigation"" patrol in the SCS"
"CN/US",2018,5,27,"12.00","113.00",6,"The Chinese army acted immediately and dispatched warships to warn US warships that had entered the South China Sea on Sunday to leave, ?China's Ministry of National Defense said.
 
 
 The two warships, Higgins, a guided-missile destroyer and Antietam, a guided-missile cruiser, arbitrarily entered waters surrounding China's Xisha Islands, the ministry said."
"CN/IN/JP/US",2018,12,28,"12.00","113.00",6,"A large number of main battleships from the three countries gathered in the South China Sea to hold the massive Malabar 2018 joint military exercise. In the course of the exercise, a Chinese warship suddenly inserted into the place of the exercise and appeared in front of the US aircraft carrier. For the emergence of this Chinese warship, the United States had no choice but to watch the warship pass by from its own sight.
 
 
 The United States dispatched the aircraft carrier Reagan, and a large number of cruise ships and three nuclear submarines. Japan sent a helicopter carrier and many other warships, but India sent only three frigates to participate in the exercise. Although there are relatively few warships dispatched by India, the magnificent group of warships of the United States and Japan is gathered. As in China, as usual, the Chinese navy sent a reconnaissance ship, inserted into the exercise site, and strongly watched the exercise site, which also made the United States feel very stumped."
"CN",2018,4,28,"12.00","113.00",6,"Two Chinese submersibles finished a three-day joint operation, the first of its kind in the country's deep sea exploration, to detect a cold seep in the Pearl River Mouth Basin in the South China Sea. Unmanned submersible Haima, or ""seahorse"", and manned submersible Shenhai Yongshi, or ""deep sea warrior"", on board scientific survey ships Haiyang 6 and Tansuo 1 respectively, carried out the joint operation from April 28 to 30."
"CN",2018,4,13,"12.00","113.00",6,"President Xi Jinping boarded the destroyer Changsa to join the training in the South China Sea"
"CN",2018,3,NA,"12.00","113.00",6,"Tan Kah Kee, Xiamen University's top research ship, recently docked at Xiamen's port after completing a maritime research mission in the South China Sea, Xiamen Daily reported. During the 10-day mission, the ship conducted four major surveys, including testing and analyzing ultra clean trace elements, testing equipment for acoustic submarine positioning, and trawling for plankton and benthos."
"CN/US",2019,5,26,"12.00","113.00",6,"Last Sunday, China dispatched warships to identify and expel US Navy vessels sailing near Chinese islands in the South China Sea."
"AU/CN",2019,5,NA,"12.00","113.00",6,"The Australian Navy was closely followed by the Chinese military in a recent transit of the South China Sea"
"CN",2019,1,16,"12.00","113.00",6,"China conducted a 34-day drills in the SCS and the western and central Pacific involving its navy, air force and missile unit"
"CN",2019,NA,NA,"12.00","113.00",6,"In response to the Vietnam-Russia exploration activities, the Chinese Maritime Police dispatched the No. 3901 marine police ship to Wan'an Beach to defend its rights. The ship has a full-load displacement of up to 12,000 tons. The Chinese Maritime Police also dispatched the 718 marine police ship No. 35111.
 
 
 We even dispatched the 10,000-ton vessel ""Si Ming""."
"AU/CN",2019,12,NA,"12.00","113.00",6,"There has been an increase in the use of common laser attacks on Australian military helicopters in congested waters in the SCS. It is believed that Chinese fishing vessels were to blame for the laser attacks. Senior Defence figures say Chinese-flagged fishing vessels operating as part of Beijing's maritime militia are known to employ the tactic against military aircraft that transit through the South China Sea."
"CN",2019,10,3,"11.09","111.32",1,"Chinese survey ship Haiyang Dizhi 8 reentered Vietnam's EEZ and continental shelf"
"CN",2019,11,27,"10.92","114.09",4,"On November 28, CCG 5403 sailed out of port in Hainan Provinceís Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesiaís EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Bruneiís EEZ and then Malaysiaís. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403óthe first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesiaís later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Bruneiís EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysiaís EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesiaís Natuna Besar island."
"CN",2019,12,23,"12.00","113.00",6,"China's new domestically built Shandong aircraft carrier deployed in the South China Sea"
"CN/PH",2019,2,NA,"12.00","113.00",6,"China fired warning flares at Philippine military planes conducting maritime patrols near the artificial islands controlled by China in the West Philippine Sea six times in Feb 2019"
"CN",2019,6,21,"12.00","113.00",6,"Trung Qu?c tri?n khai t‡u s‚n bay LiÍu Ninh ??n Bi?n ?Ùng, ??ng th?i ?i?u ??ng phi ph·p chi?n ??u c? J-10 ??n qu?n ??o Ho‡ng Sa c?a Vi?t Nam."
"AU/CN",2019,5,NA,"12.00","113.00",6,"Australian military aircraft targeted with lasers during South China Sea flights, forcing the pilots to temporarily return to their ship for medical check-ups. The incidents occurred as Australian warships were completing Indo-Pacific Endeavour 2019. Australian military officials believe the laser attacks on the Navy helicopters came from fishing boats, but it has not yet been formally confirmed if the vessels were Chinese flagged."
"CN/US",2019,6,11,"12.00","113.00",6,"The US coastguard force is monitoring the activities of the Chinese maritime militia in the South China Sea."
"CN/MY/VN",2020,2,22,"12.00","113.00",6,"A fresh stand-off over energy exploration in the disputed South China Sea that involves Malaysia, China and Vietnam has been brewing for weeks out of the public eye."
"CN/VN",2020,4,11,"12.00","113.00",6,"A Chinese ship embroiled in a stand-off with Vietnamese vessels last year has returned to waters near Vietnam as the United States accused China of pushing its presence in the South China Sea while other claimants are pre-occupied with the coronavirus."
"CN",2020,4,13,"12.00","113.00",6,"Liaoning group entered the SCS for exercises"
"CN/VN",2020,4,14,"12.88","111.07",6,"Chinese Haiyang Dizhi 8 survey vessel has returned to waters within Vietnam_ EEZ"
"CN",2020,5,1,"12.00","113.00",6,"China_ manned submersible Shenhai Yongshi, or Deep Sea Warrior, returned to its mother vessel Tansuo-1 early Sunday morning after over eight hours exploration in the South China Sea, carrying with it samples collected from a cold seep at a depth of about 1,400 meters."
"CN/ID",2020,5,21,"12.00","113.00",6,"The National Police 's Criminal Investigation Agency (Bareskrim) stated that four of the crew from Indonesia died on the Chinese fishing boat Long Xing 629. Three of them were thrown into the sea."
"CN",2020,5,29,"12.00","113.00",6,"Chinese-built aircraft carrier Shandong undergoes sea trial"
"CN",2020,8,16,"12.00","113.00",6,"Hong Kong-based Type 056 corvette Huizhou joined a live-fire drill in the South China Sea."
"CN",2020,10,15,"12.00","113.00",6,"China conducted military exercise in the South China Sea"
"CN/PH",2020,1,7,"11.05","114.28",2,"Chinese fishing vessels continue to stay near Pag-asa (Thitu) Island in the West Philippine Sea (South China Sea). Western Command chief Vice Adm. Rene Medina said there were 38 stationary Chinese boats surrounding the sandbars of Pag-asa Island."
"CN/PH",2020,3,24,"10.92","114.08",2,"China installs two new research stations on disputed islands"
"CN",2020,5,29,"12.00","113.00",6,"Chinese-built aircraft carrier Shandong undergoes sea trial"
"CN",2020,8,24,"12.00","113.00",6,"China to hold military drills in South China Sea"
"CN/PH",2020,9,8,"10.92","114.08",2,"China stations troops in several islands in the disputed South China Sea"
"CN/US",2020,12,22,"10.21","114.22",2,"US warship sails by China-claimed Spratly Islands. China says it chased away the US destroyer USS John S. McCain as it passed through disputed areas in the South China Sea."
"CN",2020,1,11,"12.00","113.00",6,"CCG ships began its withdrawal. 5202 5202, 5402, 5302, and 2169 returned to Hainan. Meanwhile, CCG call sign 46303 remained at sea and patroled around the Luconia Shoals off Malaysia."
"CN",2020,3,1,"12.00","113.00",6,"The Chinese Navy conducted anti-submarine drills in the South China Sea in early March."
"CN/US",2020,4,1,"12.00","113.00",6,"US and Chinese warships were only 100 meters apart during their encounter in the South China Sea in April 2020"
"CN",2020,4,13,"12.00","113.00",6,"Liaoning group entered the SCS for exercises"
"CN",2020,4,15,"12.00","113.00",6,"The Tan Kah Kee research vessel of Xiamen University in Fujian Province (China) recently started a 35-day scientific expedition in the South China Sea"
"CN/ID",2020,5,25,"12.00","113.00",6,"Indonesia's Government has condemned the alleged abuse of Indonesian fishermen aboard a Chinese fishing vessel, after footage of a body bag being thrown overboard. In December 2019 and March 2020, there were three Indonesian crew members who died on the Long Xin 629 while sailing in the Pacific Ocean"
"CN/VN",2020,6,16,"11.12","111.98",5,"The Hai Yang Di Zhi 4 traveled toward Vietnamese waters, passing the Chinese military base at Fiery Cross Reef in the Spratly Islands. It was detected just within 200 nautical miles of Vietnam_ coast and roughly 182 nautical miles from the Vietnamese island of Ph Qu_."
"CN/US",2020,7,2,"12.00","113.00",6,"USS Gabrielle Giffords conducted routine operations near China's Haiyang Dizhi 4 survey ship in the South China Sea."
"CN/US/VN",2020,7,2,"12.00","113.00",6,"Photos released by the US Navy show a US warship, a Vietnam Fisheries Resources Surveillance ship, and a Chinese survey ship appearing close to each other in an unspecified area in the South China Sea."
"CN/US",2020,7,6,"12.00","113.00",6,"Chinese naval ships seen near the place where 2 US aircraft carriers exercised in the South China Sea"
"AU/CN",2020,7,14,"12.00","113.00",6,"Five Australian warships sailed through the South China Sea from July 14 to 18. The ships were en route to Hawaii to participate in a US-led exercise called Rimpac. Australian warships encountered the Chinese navy while sailing in the South China Sea, although the Australian ships did not come within 12 nautical miles of the disputed islands."
"CN",2020,8,16,"12.00","113.00",6,"Over 16,000 Chinese fishing boats from Hainan Island set sail the same day after the fishing ban in the South China Sea ended"
"CN",2020,8,16,"12.00","113.00",6,"Hong Kong-based Type 056 corvette Huizhou joined a live-fire drill in the South China Sea."
"CN",2020,10,15,"12.00","113.00",6,"China conducted military exercise in the South China Sea"
"CN",2020,11,18,"12.00","113.00",6,"China conducted 2 military drills"
"CN",2020,12,9,"12.00","113.00",6,"China conducted live-fire drill in the South China Sea while US warship passed through the area."
"CN/SG",2021,2,24,"12.00","113.00",6,"The navies of China and Singapore held a joint exercise in the disputed South China Sea on Wednesday (24/2/2021)"
"CN",2021,4,6,"12.00","113.00",6,"Stealth-guided missile destroyer Nanchang joins Liaoning aircraft carrier group in sea trial"
"CN",2021,4,10,"12.00","113.00",6,"China's Liaoning aircraft carrier strike group on April 10 entered the South China Sea after exercising near Taiwan."
"CN",2021,5,2,"12.00","113.00",6,"The Shandong recently held a military exercise in the South China Sea."
"CN",2021,6,15,"12.00","113.00",6,"The Chinese navy is sailing its new destroyers Nanning in the South China Sea. The Nanning, a new type of 052D guided-missile destroyer made its public debut in a four-day real combat training exercise in the South China Sea."
"CN",2021,8,17,"12.00","113.00",6,"Chinese fishing boats return to disputed South China Sea after summer moratorium ends"
"CN",2021,12,18,"12.00","113.00",6,"Aircraft carrier Liaoning led a group of warships through the Miyako Strait in Northeast Asia to enter the Pacific Ocean"
"CN",2021,12,19,"12.00","113.00",6,"Aircraft carrier Shandong participated in drills in an undisclosed location in the South China Sea"
"CN/PH",2021,1,25,"11.05","114.28",2,"A Filipino fisherman was chased and followed by a Chinese coast guard ship on its way to Thitu Island"
"CN/PH",2021,3,7,"10.00","114.67",2,"About 220 Chinese fishing vessels believed to be operated by the Chinese maritime militia were spotted in the Whitsun Reef"
"CN/PH",2021,3,20,"11.05","114.28",2,"A think tank reported increase of Philippine patrols around several disputed areas of the South China Sea as a response to increase Chinese militia"
"CN/PH",2021,3,23,"10.00","114.67",2,"The Philippine coast guard confirms that Chinese fishing vessels are still present in Whitsun Reef nearly 2 weeks of its intial spotting. Philippines calls on China for its immediate removal"
"CN/PH",2021,3,25,"10.92","114.08",2,"China continues to build structures in the disputed Subi Reef in the South China Sea"
"CN/PH",2021,3,25,"10.00","114.67",2,"The Philippines sends more vessels to the Whitsun Reef as 183 Chinese fishing vessels remain around Whitsun Reef"
"CN/PH",2021,3,27,"10.00","114.67",2,"After spotting 220 Chinese fishing vessels in Whitsun Reef on March 7, about 183 vessels remain on March 27."
"CN/PH",2021,3,29,"11.05","114.28",2,"A detailed breakdown of the exact locations and count of Chinese maritime fishing vessels were reported by several news agencies"
"CN/PH",2021,3,29,"10.92","114.08",2,"A detailed breakdown of the exact locations and count of Chinese maritime fishing vessels were reported by several news agencies"
"CN",2021,4,8,"12.00","113.00",6,"China has drilled deep into the South China Sea to retrieve the sedimentary core for research"
"CN/PH",2021,4,11,"11.05","114.28",2,"Philippines counts only 28 Chinese vessels left in the Whitsun Reef and its surrounding features. They call on China to remove the remaining"
"CN/PH",2021,4,11,"10.00","114.67",2,"Philippines counts only 28 Chinese vessels left in the Whitsun Reef and its surrounding features. They call on China to remove the remaining"
"CN/PH",2021,4,13,"10.00","114.67",2,"Two days after only 28 Chinese vessels were spotted around Whitsun Reef only 9 more remain in the vicinity"
"CN/PH",2021,4,20,"10.00","114.67",2,"Several Chinese vessels remain in Whitsun Reef despite numerous protests filed by the Philippine government."
"CN/PH",2021,4,18,"11.05","114.28",2,"The Philippine coast guard drove away four maritime militia vessels near Thitu Island."
"CN/PH",2021,4,18,"10.00","114.67",2,"About seventeen Chinese milita vessels were spotted in Whitsun Reef, but ignored the challenges and warning of the Philippine coast guards"
"CN/PH",2021,4,21,"11.05","114.28",2,"A Chinese coast guard confronted Philippine coast guards in Thitu Island, but the latter refused to leave and demanded the former to leave its waters"
"CN",2021,5,2,"12.00","113.00",6,"Chinese carrier group conducts drills in the South China Sea as a response to US carriers in the sea"
"CN/PH",2021,5,9,"11.05","114.28",2,"Approximately 287 Chinese vessels return to Whitsun Reef and other nearby islands months after their first swarm in the disputed areas"
"CN/PH",2021,5,9,"10.92","114.08",2,"Approximately 287 Chinese vessels return to Whitsun Reef and other nearby islands months after their first swarm in the disputed areas"
"CN/PH",2021,5,9,"11.06","114.21",2,"Approximately 287 Chinese vessels return to Whitsun Reef and other nearby islands months after their first swarm in the disputed areas"
"CN/PH",2021,5,9,"10.71","114.53",2,"Approximately 287 Chinese vessels return to Whitsun Reef and other nearby islands months after their first swarm in the disputed areas"
"CN/PH",2021,5,9,"10.67","114.42",2,"Approximately 287 Chinese vessels return to Whitsun Reef and other nearby islands months after their first swarm in the disputed areas"
"CN/PH",2021,5,9,"10.21","114.22",2,"Approximately 287 Chinese vessels return to Whitsun Reef and other nearby islands months after their first swarm in the disputed areas"
"CN/PH",2021,5,9,"10.00","114.67",2,"Approximately 287 Chinese vessels return to Whitsun Reef and other nearby islands months after their first swarm in the disputed areas"
"CN/PH",2021,5,9,"10.05","113.85",2,"Approximately 287 Chinese vessels return to Whitsun Reef and other nearby islands months after their first swarm in the disputed areas"
"CN/PH",2021,5,13,"10.21","114.22",2,"Several Chinese maritime milita vessels were seen in varying locations within the Philippine exclusive economic zone"
"CN/PH",2021,5,13,"11.05","114.28",2,"Several Chinese maritime milita vessels were seen in varying locations within the Philippine exclusive economic zone"
"CN/PH",2021,6,17,"10.21","114.22",2,"A large swarm of vessels have been spotted inside the Philippines exclusive economic zone."
"CN/PH",2021,6,17,"11.05","114.28",2,"A large swarm of vessels have been spotted inside the Philippines exclusive economic zone."
"CN/PH",2021,10,20,"12.00","113.00",6,"Philippines has protested the use of radio challenges, sounding of sirens, and blowing of horns by the Chinese vessels to Philippine patrol boats"
"CN/PH",2021,11,1,"10.00","114.67",2,"Chinese milita vessels return to Whitsun Reef where they were previously asked to leave by the Philippines"
"CN/PH",2021,3,1,"10.92","114.08",2,"Satellite photos shows that China has been contructing structures in Subi Reef"
"CN/PH",2021,8,1,"11.05","114.28",2,"Several Chinese vessels have left the vicinity of Spartly Islands, however about 146 ships remain around the Philippine exclusive economic zone"
"CN/PH",2021,3,1,"10.00","114.67",2,"A think tank reported increase of Philippine patrols around several disputed areas of the South China Sea as a response to increase Chinese militia"
"CN",2021,1,4,"12.00","113.00",6,"China conducted exercise in South China Sea."
"CN",2021,1,14,"12.00","113.00",6,"China conducted exercise in South China Sea."
"CN/US",2021,2,9,"12.00","113.00",6,"China conducts live-fire exercises, the US sends ships to patrol Paracel Islands"
"CN",2021,3,15,"12.00","113.00",6,"China simultaneously conducts military exercises in the South China Sea, East China Sea and Yellow Sea"
"CN",2021,4,10,"12.00","113.00",6,"China's Liaoning aircraft carrier strike group on April 10 entered the South China Sea after exercising near Taiwan."
"CN/JP/US",2021,4,11,"12.00","113.00",6,"The US Navy warned that it is monitoring a Chinese aircraft carrier in the South China Sea"
"CN/PH",2021,12,7,"12.00","113.00",6,"PhilippinesDefense Secretary Delfin Lorenzana announced on July 13 that he had received information that a Chinese ship was discharging waste in the South China Sea and was verifying this information"
"CN",2021,9,13,"12.00","113.00",6,"Chinese amphibious ships conduct live-fire exercises in the South China Sea"
"CN",2021,11,22,"12.00","113.00",6,"The research vessel of Zhongshan University is scheduled to arrive in the South China Sea for a _cientific survey next week."
"CN",2021,12,19,"12.00","113.00",6,"Aircraft carrier Shandong participated in drills in an undisclosed location in the South China Sea"
"CN",2022,5,8,"12.00","113.00",6,"PLA brings Hainan amphibious assault ship on the South China Sea military drills"
"CN",2022,5,20,"12.00","113.00",6,"Chinese navy launches South China Sea drills as Biden visits Asia"
"AU/CN",2022,7,13,"12.00","113.00",6,"China's PLA followed Australia Navy in South China Sea"
"CN/US",2022,7,13,"13.54","113.97",5,"China's PLA drove away US Navy destroyer around the disputed Spratly and Paracel Islands"
"CN/US",2022,7,20,"13.54","113.97",5,"China's PLA drove away US Navy destroyer around the disputed Spratly and Paracel Islands"
"CN",2022,7,23,"10.93","114.07",2,"China stationed permanent rescue and maritime office on disputed Spratly Islands"
"CN",2022,8,25,"12.00","113.00",6,"PLA_ South Sea Fleet trained in the South China Sea"
"CN",2022,10,10,"13.54","113.97",5,"PLA's hospital vessel Youhou finished its first medical mission in South China Sea"
"CN/PH",2022,11,21,"11.05","114.28",1,"China's coastguard allegedly blocked Philippine naval to collect floating debris"
"CN/PH",2022,11,24,"11.05","114.28",1,"China's coastguard allegedly blocked Philippine naval to collect floating debris"
"CN/US",2022,11,29,"10.00","114.00",5,"PLA warned off US Warship entering water off Spratly Islands"
"CN/US",2022,7,28,"12.00","113.00",6,"A US military vessel is deployed to the South China Sea as tensions rise with a possible visit of Nancy Pelosi to Taiwan"
"CN",2022,8,11,"12.00","113.00",6,"Chinese military ships conduct a three day long military drill in the South China Sea"
"CN/PH",2022,10,25,"10.92","114.08",2,"The Philippines continue to monitor Chinese developments within disputed areas of the Spratly Island. China appears to reclaim and create artificial islands and other structures in the disputed areas"
"CN/PH",2022,10,25,"10.21","114.22",2,"The Philippines continue to monitor Chinese developments within disputed areas of the Spratly Island. China appears to reclaim and create artificial islands and other structures in the disputed areas"
"CN/PH",2022,11,20,"11.05","114.28",1,"A Chinese warship forcibly retrieved a piece of debris from Philippines military vessel"
"CN/PH",2022,12,22,"10.00","114.67",2,"Philippines increase their military presence in the South China Sea after increased sightings of Chinese military vessels in disputed areas"
"CN/PH",2022,12,22,"10.37","114.48",2,"Philippines increase their military presence in the South China Sea after increased sightings of Chinese military vessels in disputed areas"
"CN/PH",2022,12,22,"10.71","114.53",2,"Philippines increase their military presence in the South China Sea after increased sightings of Chinese military vessels in disputed areas"
